id,name,provider,category,last_date,amount,age,annual_income,caste,eligibility,documents_required,official_link
21,TOEFL Global Scholar Challenge 2025-26 - 2nd Edition,TOEFL,For Girls,30-Apr-25,"Prizes worth a total of ?1,30,000, TOEFL test fee coupons worth ?500, and TOEFL official preparation resources worth ?7,500",More  than 18 Years,Any,Any,1. Open to Indian nationals. 2. College students in their 3rd or 4th year. 3. Professionals with up to 2 years of work experience. 4. Must participate in an online 30-minute multiple-choice quiz.,1. Completed registration form. 2. Proof of college enrollment or work experience.,https://www.buddy4study.com/page/toefl-global-scholar-challenge
22,Summer Research Internship Program (SRIP) 2025,IIT Gandhinagar,For Girls,01-Mar-25,"Stipend of ?2,000 per week for a maximum of 8 weeks",More  than 18 Years,Any,Any,"1. Open to undergraduate and master's students. 2. Must be pursuing a degree in a relevant field. 3. Minimum duration of 8 weeks between May 5 to July 15, 2025. 4. Selection based on academic performance and research interests.",1. Completed application form. 2. Academic transcripts. 3. Statement of purpose.,https://srip.iitgn.ac.in/info/
23,JK Tyre Shiksha Sarthi Scholarship Program 2024-25,JK Tyre & Industries Ltd.,For Girls,15-Feb-25,"Up to ?25,000",More  than 16 Years,Any,Any,"1. Open to female students. 2. Daughters of heavy vehicle drivers. 3. Pursuing undergraduate or diploma courses in technical and non-technical fields. 4. Residing in Rajasthan, Madhya Pradesh, Uttarakhand, Karnataka, or Tamil Nadu.",1. Completed application form. 2. Proof of parent's occupation. 3. Academic transcripts.,https://www.buddy4study.com/page/jk-tyre-shiksha-sarthi-scholarship-program
24,Quad Fellowship 2025,"Governments of Australia, India, Japan, and the United States",For Girls,Varies by program,"One-time stipend of $20,000",More  than 18 Years,Any,Any,1. Open to citizens or legal permanent residents of Quad countries. 2. Must have a bachelor's degree in a STEM field by August 2025. 3. Demonstrated academic excellence. 4. Applied to an eligible STEM graduate program at a US-based university.,1. Completed application form. 2. Academic transcripts. 3. Proof of citizenship.,https://www.quadfellowship.org/
25,JN Tata Endowment Loan Scholarship 2025-26,Tata Trusts,For Girls,07-Mar-25,Loan scholarship up to ?10 lakh,More  than 18 Years,Any,Any,1. Open to Indian nationals. 2. Graduates from recognized Indian universities. 3. Minimum average of 60% in undergraduate or postgraduate studies. 4. Pursuing higher studies overseas.,1. Completed application form. 2. Academic transcripts. 3. Proof of Indian citizenship.,https://jntataendowment.org/
26,"Savitribai Phule Scholarship for SC Girl Students of Class 5 to 10, Maharashtra 2024-25","Social Justice and Special Assistance Department, Government of Maharashtra",For Girls,31-Mar-25,Up to ?100 per month for 10 months,Less than 12 years,Any,SC,1. Open to Indian nationals. 2. Domicile of Maharashtra. 3. Belong to the Scheduled Caste (SC) category. 4. Female students currently studying in Classes 5 to 10.,1. Completed application form. 2. Domicile certificate. 3. Caste certificate.,https://www.buddy4study.com/scholarship/savitribai-phule-scholarship-for-sc-girl-students-of-class-five-to-ten-maharashtra
27,Delhi Ladli Scheme,"Department of Women and Child Development, Government of NCT of Delhi",For Girls,Varies by stage of financial assistance,"Up to ?11,000 for institutional delivery
?10,000 for home delivery
?5,000 at various educational stages",More  than 18 Years,"less than ?1,00,000 per annum.",Any,"1. Open to girl children born in Delhi. 2. Family income should not exceed ?1,00,000 per annum. 3. Family should be a resident of Delhi for at least 3 years. 4. Benefits limited to two girl children per family.",1. Completed application form. 2. Birth certificate of the girl child. 3. Proof of residence. Income certificate.,https://wcd.delhi.gov.in/wcd/delhi-ladli-scheme
28,Women Involvement in Science and Engineering Research (WISER) 2025,Indo-German Science & Technology Centre (IGSTC),For Girls,Varies by program,"Up to ?39 lakhs for Indian Principal Investigator (PI) & €48,000 for German PI",More  than 18 Years,Any,Any,1. Open to women researchers in India and Germany. 2. Must hold a regular position in academic/research institutions/industrial research organizations. 3. Collaborating pair of Indian and German women Principal Investigators. 4. Proposals in any area of STEM.,1. Completed application form proposal. 2. Proof of regular position.,https://www.igstc.org/home/wiser_2025
29,NITI Internship Scheme 2025,NITI Aayog,For Girls,Applications open from 1st to 10th of every month,Unpaid internship,More  than 18 Years,Any,Any,"1. Open to undergraduate, graduate, and postgraduate students. 2. Must be enrolled in recognized universities/institutions in India or abroad. 3. Minimum 75% attendance required. 4. Internship duration between 6 weeks to 6 months.",1. Completed application form. 2. Academic transcripts. 3. Proof of enrollment.,https://www.niti.gov.in/internship
30,L&T Build India Scholarship 2025,Larsen & Toubro (L&T) for girls,For Girls,12-Mar-25,"?13,400 per month for 24 months",More  than 18 Years,Any,Any,1. Open to final-year BE/B.Tech students in Civil/Electrical Engineering. 2. Must graduate in 2025.0 3. Minimum 70% aggregate or CGPA of 7.0. 4. Selection based on written test and interview.,1. Completed application form. 2. Academic transcripts. 3. Proof of final-year status.,https://www.freshersnow.com/lt-build-india-scholarship/
31,Wise Scope Fellowship 2024,Department of Science & Technology (DST),For Girls,31-Aug-24,Varies by project,More  than 25 Years,Any,Any,"1. Open to women scientists and technologists. 2. Must have completed Ph.D. 3. Projects addressing societal challenges. 4. Proposals in thematic areas like energy, water, waste management, etc.",1. Completed application form. 2. Research proposal. 3. Proof of Ph.D. completion.,https://dst.gov.in/callforproposals/call-proposals-under-wise-scope-fellowship
32,Central Sector Scheme of Scholarships for College and University Students,"Ministry of Education, Government of India",Government,31st October 2024,"?12,000 per annum at the Graduation level for the first three years
?20,000 per annum at the Post-graduation level",More than 18 Years,"less than ?4,50,000 per annum.",Any,"1. Above the 80th percentile of successful candidates in Class 12th Board Examination. 2. Pursuing regular degree courses. 3. Family income should not exceed ?4,50,000 per annum.",1. Income certificate 2. Marksheet of Class 12th 3. Bank account details 4. Aadhaar card,https://www.myscheme.gov.in/schemes/csss-cus
33,National Means-cum-Merit Scholarship (NMMSS),"Ministry of Education, Government of India",Government,31st October 2022,"?12,000 per annum",Less than 20 Years,"less than ?3,50,000 per annum.",Any,"1. Students whose parental income from all sources is not more than ?3,50,000 per annum. 2. Minimum of 55% marks in Class VII examination (relaxable by 5% for SC/ST students). 3. Must be studying as a regular student in a Government, Government-aided, or local body school.",1. Income certificate 2. Marksheet of Class VII 3. Bank account details 4. Aadhaar card,https://dsel.education.gov.in/scheme/nmmss
34,Prime Minister's Scholarship Scheme (PMSS),"Ministry of Defence, Government of India",Government,Not specified,"?2,500 per month for boys
?3,000 per month for girls",More than 18 Years,Any,Any,1. Wards and widows of deceased/ex-service personnel of Armed Forces. 2. Minimum of 60% marks in the qualifying examination.,1. Income certificate 2. Marksheet of qualifying examination 3. Bank account details,https://desw.gov.in/prime-ministers-scholarship-scheme-pmss
35,INSPIRE Scholarship for Higher Education (SHE),"Department of Science and Technology, Government of India",Government,Not specified,"?80,000 per annum",More than 18 Years,Any,Any,"1. Top 1% in Class XII Board Examination or top 10,000 ranks in JEE/NEET. 2. Pursuing courses in Natural and Basic Sciences at B.Sc., B.S., Int. M.Sc./M.S. level.",1. Income certificate 2. Marksheet of Class XII 3. Bank account details 4. Aadhaar card,https://www.online-inspire.gov.in/
36,Post-Matric Scholarship for SC/ST/OBC Students,"Ministry of Social Justice and Empowerment, Government of India",Government,Not specified,"Varies based on the course and category (e.g., ?13,000 per annum for Group I courses for hostellers)",More than 18 Years,Any,SC/ST/OBC,"1. Belong to SC/ST/OBC category. 2. Family income should not exceed ?2,50,000 per annum.",1. Income certificate 2. Caste certificate 3. Marksheet of the last examination passed 4. Bank account details 5. Aadhaar card,https://socialjustice.gov.in/schemes/25
37,National Fellowship and Scholarship for Higher Education of ST Students,"Ministry of Tribal Affairs, Government of India",Government,30th September 2024,"M.Phil: ?31,000 per month for the first two years, ?35,000 per month for the remaining tenure
Ph.D.: ?31,000 per month for the first two years, ?35,000 per month for the remaining tenure
Contingency: ?10,000 - ?25,000 per annum based on the course",More than 18 Years,Any,ST,1. ST students who have passed the Post-graduation/Master's Degree examination. 2. Pursuing regular and full-time M.Phil or Ph.D. courses.,1. Income certificate 2. Marksheet of Post-graduation/Master's Degree 3. Bank account details 4. Aadhaar card,https://fellowship.tribal.gov.in/Login.aspx
38,Maulana Azad National Fellowship for Minority Students,"Ministry of Minority Affairs, Government of India",Government,Not specified,"?31,000 per month for initial two years (JRF)
?35,000 per month for remaining tenure (SRF)",More than 18 Years,Any,Any,"1. Students from minority communities (Muslim, Christian, Sikh, Buddhist, Jain, Parsi) who have passed post-graduation with at least 50% marks and are pursuing regular and full-time M.Phil/Ph.D. courses",1. Minority community certificate 2. Admission and registration proof for M.Phil/Ph.D. 3. Self-declaration on non-judicial stamp paper,https://minorityaffairs.gov.in/show_content.php?lang=1&level=1&ls_id=625&lid=107
39,National Scholarship for Persons with Disabilities,"Ministry of Social Justice and Empowerment, Government of India",Government,June 2024 for the academic year 2024-25,Varies based on the course and level of study,More than 18 Years,Any,Any,1. Students with disabilities pursuing post-matric professional and technical courses of duration more than one year,1. Disability certificate 2. Admission proof 3. Income certificate,https://depwd.gov.in/scholarship/
40,Kishore Vaigyanik Protsahan Yojana (KVPY),"Department of Science and Technology, Government of India",Government,1st week of September 2025,"?5,000 to ?7,000 per month",More than 14 Years,Any,Any,1. Students enrolled in Class XI (science subjects) or undergraduate programs in Basic Sciences.,1. Proof of enrollment 2. Academic records,https://www.indiascienceandtechnology.gov.in/nurturing-minds/scholarships/school/kishore-vaigyanik-protsahan-yojana-kvpy
41,AICTE Saksham Scholarship for Differently Abled Students,All India Council for Technical Education (AICTE),Government,Not specified,"?50,000 per annum",More than 18 Years,Any,Any,"1. Differently-abled students with a disability of not less than 40%, admitted to the first year or second year (through lateral entry) of a degree-level course in AICTE-approved institutions",1. Disability certificate 2. income certificate 3. Admission proof,https://www.aicte-india.org/schemes/students-development-schemes/Saksham/General-Instructions
